retailer_id,timestamp,amount,msisdn
R001,2025-07-14,424.58,9856973662
R001,2025-07-14,10.16,9899314710
R001,2025-07-14,483.06,9831135449
R001,2025-07-14,401.78,9886720424
R001,2025-07-14,32.24,9894900583
R001,2025-07-14,344.56,9852276557
R001,2025-07-13,210.18,9866832834
R001,2025-07-13,206.71,9880893152
R001,2025-07-13,343.13,9892587324
R001,2025-07-13,186.64,9890318448
R001,2025-07-13,16.87,9852904263
R001,2025-07-13,118.21,9865847087
R001,2025-07-13,236.13,9871492987
R001,2025-07-12,54.31,9886938407
R001,2025-07-12,403.96,9859391330
R001,2025-07-12,189.5,9871047510
R001,2025-07-12,190.5,9843482639
R001,2025-07-12,463.75,9863821080
R001,2025-07-12,170.88,9876205888
R001,2025-07-12,124.35,9848247932
R001,2025-07-11,350.2,9821362695
R001,2025-07-11,246.51,9862401828
R001,2025-07-11,29.3,9881908020
R001,2025-07-11,43.5,9893365234
R001,2025-07-10,309.86,9880533524
R001,2025-07-10,257.31,9898260565
R001,2025-07-10,248.07,9836678315
R001,2025-07-10,314.25,9882681232
R001,2025-07-10,11.16,9855042382
R001,2025-07-10,185.28,9877870606
R001,2025-07-10,377.64,9871705007
R001,2025-07-09,436.28,9849770760
R001,2025-07-09,323.41,9899850220
R001,2025-07-09,492.21,9898835226
R001,2025-07-09,144.42,9867367196
R001,2025-07-09,163.39,9848370816
R001,2025-07-09,146.59,9836867772
R001,2025-07-08,273.91,9840429554
R001,2025-07-08,476.52,9814746938
R001,2025-07-08,136.92,9853742601
R001,2025-07-08,329.89,9881672718
R001,2025-07-07,338.6,9834296712
R001,2025-07-07,107.23,9855838024
R001,2025-07-07,334.31,9897628283
R001,2025-07-06,430.79,9860126821
R001,2025-07-06,148.92,9847603504
R001,2025-07-06,134.49,9883284447
R001,2025-07-05,174.11,9859002113
R001,2025-07-05,437.02,9851832916
R001,2025-07-05,354.89,9825271360
R001,2025-07-05,264.54,9876637195
R001,2025-07-05,11.52,9898382175
R001,2025-07-05,102.41,9888436265
R001,2025-07-04,381.6,9885456541
R001,2025-07-04,268.64,9844882774
R001,2025-07-04,198.64,9835410029
R001,2025-07-04,268.09,9861679879
R001,2025-07-04,26.34,9853399843
R001,2025-07-04,91.79,9895261221
R001,2025-07-03,40.58,9815244834
R001,2025-07-03,100.79,9872724483
R001,2025-07-03,421.45,9852507655
R001,2025-07-03,318.91,9883172512
R001,2025-07-03,287.16,9888532281
R001,2025-07-03,313.31,9868093835
R001,2025-07-03,487.84,9888747259
R001,2025-07-02,181.54,9875681566
R001,2025-07-02,109.54,9823427875
R001,2025-07-02,288.17,9864708184
R001,2025-07-02,186.72,9812208276
R001,2025-07-02,57.1,9856037793
R001,2025-07-02,309.0,9870585024
R001,2025-07-01,59.95,9823659336
R001,2025-07-01,395.28,9820045295
R001,2025-07-01,265.48,9892653306
R001,2025-07-01,246.54,9883320376
R001,2025-07-01,423.27,9821717179
R001,2025-07-01,211.66,9852661515
R001,2025-07-01,186.83,9883842981
R001,2025-06-30,78.63,9823404054
R001,2025-06-30,173.16,9818523368
R001,2025-06-30,152.98,9825633818
R001,2025-06-30,329.04,9835711776
R001,2025-06-30,103.35,9893080947
R001,2025-06-29,141.88,9861024832
R001,2025-06-29,129.32,9860981020
R001,2025-06-29,468.74,9835313999
R001,2025-06-28,56.22,9829179894
R001,2025-06-28,237.76,9860650617
R001,2025-06-28,438.11,9833539369
R001,2025-06-27,62.93,9849870249
R001,2025-06-27,78.38,9861083539
R001,2025-06-27,483.69,9811036715
R001,2025-06-27,141.45,9816957174
R001,2025-06-27,429.68,9816529771
R001,2025-06-27,407.39,9845492555
R001,2025-06-26,301.57,9814749408
R001,2025-06-26,326.05,9825987958
R001,2025-06-26,187.62,9856789427
R001,2025-06-26,134.9,9883120020
R001,2025-06-26,68.19,9830365110
R001,2025-06-26,380.56,9854231366
R001,2025-06-25,250.86,9862152941
R001,2025-06-25,349.2,9859165381
R001,2025-06-25,223.96,9821750165
R001,2025-06-25,116.42,9883107225
R001,2025-06-25,53.64,9870314682
R001,2025-06-25,404.66,9817918141
R001,2025-06-25,391.35,9893820080
R002,2025-07-14,245.47,9881304851
R002,2025-07-14,74.56,9831371701
R002,2025-07-14,459.5,9885042926
R002,2025-07-14,150.18,9850114283
R002,2025-07-14,76.5,9835231809
R002,2025-07-13,289.1,9859125803
R002,2025-07-13,364.41,9847229427
R002,2025-07-13,207.74,9876659062
R002,2025-07-13,278.3,9878785066
R002,2025-07-12,277.4,9883292695
R002,2025-07-12,26.63,9863628254
R002,2025-07-12,147.74,9816812996
R002,2025-07-12,353.29,9874732419
R002,2025-07-12,375.73,9868398686
R002,2025-07-12,207.25,9822904342
R002,2025-07-12,481.51,9832353732
R002,2025-07-11,265.02,9842093567
R002,2025-07-11,388.54,9872975348
R002,2025-07-11,256.86,9880957580
R002,2025-07-11,184.91,9897767617
R002,2025-07-11,367.43,9898250947
R002,2025-07-11,385.57,9835241572
R002,2025-07-11,296.16,9885724969
R002,2025-07-10,152.08,9827228391
R002,2025-07-10,474.87,9819316580
R002,2025-07-10,399.19,9895556867
R002,2025-07-10,247.02,9875239725
R002,2025-07-10,225.06,9894351480
R002,2025-07-09,324.64,9861785428
R002,2025-07-09,10.65,9895734414
R002,2025-07-09,238.09,9885727718
R002,2025-07-09,216.47,9813328594
R002,2025-07-09,22.41,9875559936
R002,2025-07-08,394.6,9862707547
R002,2025-07-08,88.52,9811753603
R002,2025-07-08,471.25,9855057892
R002,2025-07-08,437.67,9864742606
R002,2025-07-08,351.86,9855835640
R002,2025-07-07,481.25,9862760853
R002,2025-07-07,307.3,9884074593
R002,2025-07-07,395.83,9851796636
R002,2025-07-07,138.01,9816807504
R002,2025-07-06,406.2,9899963059
R002,2025-07-06,185.79,9862372096
R002,2025-07-06,268.82,9849542243
R002,2025-07-06,24.16,9896673225
R002,2025-07-06,275.81,9851955097
R002,2025-07-05,114.66,9874640051
R002,2025-07-05,226.38,9849213447
R002,2025-07-05,392.49,9826045948
R002,2025-07-05,30.46,9860307917
R002,2025-07-04,171.83,9872362311
